year,구,사고,사망,부상,경찰서,파출소,119안전센터,불법주정차 합계,공원수,학교수,인구수,어린이인구수,자동차등록수
2022,강남구,7,1,6,2,21,6,271,16,32,537817,47889,497866
2021,강남구,81,0,95,2,21,6,271,16,33,537338,48096,239643
2020,강남구,76,0,94,2,21,6,271,16,33,539538,47830,236216
2022,강동구,1,0,1,1,16,6,138,26,29,464027,37634,307218
2021,강동구,40,0,47,1,16,6,138,26,29,465097,338369,152178
2020,강동구,40,0,42,1,16,6,138,26,28,468815,36943,149866
2022,강북구,5,0,5,1,14,4,158,4,14,296934,16861,150268
2021,강북구,25,0,29,1,14,4,158,4,14,300824,17894,75337
2020,강북구,33,0,43,1,14,4,158,4,14,307537,18948,75679
2022,강서구,9,0,10,1,12,6,161,39,36,573711,39636,412164
2021,강서구,58,0,71,1,12,6,161,39,35,578426,41267,205058
2020,강서구,43,0,50,1,12,6,161,39,35,582804,42446,205054
2022,관악구,2,0,2,1,18,4,251,16,22,502628,22096,237494
2021,관악구,32,0,39,1,19,4,251,16,22,500336,23614,118082
2020,관악구,34,0,41,1,18,4,251,16,22,504140,24935,119393
2022,광진구,3,0,3,1,12,3,106,7,21,350925,21021,195900
2021,광진구,39,0,44,1,12,3,106,7,22,353110,21994,98371
2020,광진구,22,0,25,1,12,3,106,7,22,356191,22820,98883
2022,구로구,4,0,4,1,17,6,179,19,27,417983,28184,296782
2021,구로구,33,0,36,1,17,6,179,19,26,419984,29113,145874
2020,구로구,32,0,39,1,17,6,179,19,26,426675,30134,145267
2022,금천구,2,0,2,1,12,2,70,17,18,242467,12736,184198
2021,금천구,27,0,49,1,12,2,70,17,18,244901,13375,90169
2020,금천구,20,0,23,1,12,2,70,17,18,244564,13873,88395
2022,노원구,5,0,5,1,16,5,295,5,41,506989,39335,305126
2021,노원구,55,0,67,1,16,5,295,5,42,514445,41444,152285
2020,노원구,54,0,67,1,16,5,295,5,42,522225,43204,152729
2022,도봉구,27,0,32,1,9,4,183,33,23,312858,19981,191278
2021,도봉구,20,0,22,1,9,4,183,33,23,318100,21102,95631
2020,도봉구,19,0,20,1,9,4,183,33,23,323752,22054,95839
2022,동대문구,5,0,6,1,20,5,115,16,21,354884,20747,199518
2021,동대문구,26,0,29,1,20,5,115,16,21,352592,21186,98466
2020,동대문구,31,0,33,1,20,5,115,16,21,352570,21661,16895
2022,동작구,35,0,42,1,17,4,126,18,21,390377,24321,211832
2021,동작구,37,0,39,1,17,4,126,18,25,394649,25128,106229
2020,동작구,24,0,29,1,17,4,126,18,21,398205,25682,105588
2022,마포구,2,0,2,1,15,6,233,12,21,376542,25164,244366
2021,마포구,30,0,42,1,15,6,233,12,22,378629,25893,121364
2020,마포구,34,0,43,1,15,6,233,12,22,378126,26095,119389
2022,서대문구,3,0,3,1,10,4,181,15,19,321966,20604,183410
2021,서대문구,28,0,35,1,10,4,181,15,19,317075,21058,89199
2020,서대문구,36,1,42,1,10,4,181,15,19,318814,21231,89496
2022,서초구,1,0,1,2,19,6,365,6,25,408979,39019,352336
2021,서초구,55,0,64,2,19,6,365,6,24,413677,40378,177133
2020,서초구,43,0,50,2,19,6,365,6,24,425103,40654,181053
2022,성동구,3,0,3,1,15,4,195,25,21,287240,17720,207414
2021,성동구,21,0,27,1,15,4,195,25,21,291609,18222,107564
2020,성동구,18,0,20,1,15,4,195,25,21,298421,18895,106156
2022,성북구,2,0,2,2,24,4,299,14,28,441855,31841,245608
2021,성북구,44,1,50,2,24,4,299,14,29,442680,32708,121073
2020,성북구,32,0,35,2,24,4,299,14,29,444295,33032,120269
2022,송파구,5,0,5,1,21,6,230,24,40,663704,54298,498744
2021,송파구,88,0,106,1,21,6,230,24,40,"668,261",54012,246858
2020,송파구,88,0,101,1,21,6,230,24,40,667115,54461,245833
2022,양천구,6,0,6,1,15,5,147,22,29,442345,40837,303810
2021,양천구,68,0,79,1,15,5,147,22,30,449378,42396,151338
2020,양천구,47,1,49,1,15,5,147,22,30,456019,42989,151449
2022,영등포구,2,0,2,1,15,5,165,13,21,398999,24069,289388
2021,영등포구,79,1,96,1,15,5,165,13,23,400241,24400,146095
2020,영등포구,50,0,58,1,15,5,165,13,23,403070,23652,146171
2022,용산구,3,0,3,1,12,5,81,5,15,232482,13971,151106
2021,용산구,18,0,29,1,12,5,81,5,15,236518,14324,79740
2020,용산구,24,0,28,1,12,5,81,5,15,243336,14400,78995
2022,은평구,4,0,4,2,20,4,318,32,30,468766,31858,267116
2021,은평구,49,0,55,2,20,4,318,32,30,476013,33101,133175
2020,은평구,36,0,42,2,20,4,318,32,31,479607,33836,132198
2022,종로구,1,0,1,2,22,6,193,24,13,152212,8309,101942
2021,종로구,15,0,20,2,22,6,193,24,13,153684,8702,50348
2020,종로구,16,0,19,2,22,6,193,24,13,156567,8962,50267
2022,중구,1,0,1,2,18,5,156,14,11,131390,6120,115644
2021,중구,21,0,26,2,18,5,156,14,12,131450,6273,61158
2020,중구,14,0,15,2,18,5,156,14,12,133708,6430,51126
2022,중랑구,1,0,1,1,17,4,119,16,23,389928,22871,232834
2021,중랑구,37,0,47,1,17,4,119,16,23,393600,23567,114375
2020,중랑구,62,0,70,1,17,4,119,16,23,396807,24346,114020
