year,구,안전도
2022,강남구,0.4845087699540468
2021,강남구,0.2713662049274268
2020,강남구,0.26779054130148194
2022,강동구,0.29821432120356933
2021,강동구,0.9999999999999999
2020,강동구,0.16605995764630022
2022,강북구,0.11086185804223445
2021,강북구,0.051695031279465974
2020,강북구,0.05490357798225915
2022,강서구,0.3907012871726587
2021,강서구,0.2237779146875476
2020,강서구,0.22700329908380862
2022,관악구,0.1976527151194758
2021,관악구,0.10300831616440653
2020,관악구,0.10774164022320706
2022,광진구,0.16009803401986958
2021,광진구,0.08207740701728816
2020,광진구,0.08475625644524823
2022,구로구,0.2635137671606459
2021,구로구,0.14115424872972027
2020,구로구,0.14347177781752576
2022,금천구,0.12751295674313737
2021,금천구,0.051465652209436615
2020,금천구,0.05134585616082923
2022,노원구,0.30130417596880216
2021,노원구,0.18064140018946545
2020,노원구,0.18586660571973687
2022,도봉구,0.15353933837249611
2021,도봉구,0.0774177823708797
2020,도봉구,0.08021559976416187
2022,동대문구,0.16237774730431287
2021,동대문구,0.07994067611344077
2020,동대문구,0.01371029892702489
2022,동작구,0.18249133824883568
2021,동작구,0.09727715174681409
2020,동작구,0.09825235782914102
2022,마포구,0.21179085707724138
2021,마포구,0.11199771228191047
2020,마포구,0.11092286017758521
2022,서대문구,0.1486735209880469
2021,서대문구,0.07195243268787
2020,서대문구,0.07268639050641157
2022,서초구,0.3395541710003025
2021,서초구,0.19830276049843987
2020,서초구,0.20229246576703697
2022,성동구,0.16062635115589383
2021,성동구,0.0793577054805864
2020,성동구,0.08004197830200968
2022,성북구,0.2313261698608599
2021,성북구,0.13065912117177095
2020,성북구,0.13086835021519122
2022,송파구,0.502918165497413
2021,송파구,0.29367559671681537
2020,송파구,0.2940620355832908
2022,양천구,0.30423807504863604
2021,양천구,0.1823784428942725
2020,양천구,0.18407104512943492
2022,영등포구,0.24599262895464968
2021,영등포구,0.12837223116552168
2020,영등포구,0.12632272503439307
2022,용산구,0.10351537916277465
2021,용산구,0.045422576421046114
2020,용산구,0.045017919722293985
2022,은평구,0.2492251900727167
2021,은평구,0.14180898658063432
2020,은평구,0.14301274364970532
2022,종로구,0.04730232547868735
2021,종로구,0.005686447920186029
2020,종로구,0.00633676932691183
2022,중구,0.05254988925766197
2021,중구,0.007886941237001864
2020,중구,0.0
2022,중랑구,0.19582292708671462
2021,중랑구,0.09970812824470635
2020,중랑구,0.10159726224624765
